,Country,year,Average Temp in C
858,"Bonaire, Saint Eustatius And Saba",1993,27.8
859,"Bonaire, Saint Eustatius And Saba",2008,27.8
860,"Bonaire, Saint Eustatius And Saba",2011,27.8
861,Burkina Faso,1901,27.8
862,Burkina Faso,1906,27.8
863,Burkina Faso,1916,27.8
864,Burkina Faso,1927,27.8
865,Burkina Faso,1950,27.8
866,Burkina Faso,1955,27.8
867,Burkina Faso,1961,27.8
868,Burkina Faso,1976,27.8
869,Cambodia,2012,27.8
870,Cayman Islands,1997,27.8
871,Chad,1933,27.8
872,Chad,1996,27.8
873,Chad,1997,27.8
874,Chad,1999,27.8
875,Chad,2002,27.8
876,Chad,2011,27.8
877,Curaçao,1960,27.8
878,Curaçao,1963,27.8
879,Curaçao,1970,27.8
880,Curaçao,1988,27.8
881,French Polynesia,2013,27.8
882,Gambia,1899,27.8
883,Gambia,1931,27.8
884,Gambia,1937,27.8
885,Gambia,1944,27.8
886,Gambia,1958,27.8
887,Gambia,1962,27.8
888,Gambia,1985,27.8
889,Gambia,1986,27.8
890,Gambia,1989,27.8
891,Gambia,1999,27.8
892,Ghana,1987,27.8
893,Guam,1984,27.8
894,Guinea Bissau,2002,27.8
895,Kingman Reef,1941,27.8
896,Kingman Reef,1951,27.8
897,Kingman Reef,1977,27.8
898,Kingman Reef,1987,27.8
899,Kingman Reef,1991,27.8
900,Kingman Reef,1996,27.8
901,Kingman Reef,1998,27.8
902,Kingman Reef,2001,27.8
903,Kingman Reef,2007,27.8
904,Kingman Reef,2010,27.8
905,Kiribati,2003,27.8
906,Kiribati,2005,27.8
907,Kiribati,2006,27.8
908,Mali,1896,27.8
909,Mali,1909,27.8
910,Mali,1911,27.8
911,Mauritania,1893,27.8
912,Mauritania,1897,27.8
913,Mauritania,1923,27.8
914,Mauritania,1924,27.8
915,Mauritania,1927,27.8
916,Mauritania,1947,27.8
917,Mauritania,1962,27.8
918,Mauritania,1963,27.8
